"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
117,123,0.992002413110678,0.0204678026194488,0.952287733770812,0.958577666300838,1.02590732574176,0.99186164719844,1.02590732574176,1.02590732574176,1.03251704923122
118,124,1.05931153612002,0.0211271572694193,1.01830359944966,1.02480165070322,1.0943005154092,1.05917108444106,1.0943005154092,1.0943005154092,1.10111764410081
119,125,1.06097737344574,0.0211309829371578,1.01996145259937,1.02646090161236,1.09597236020646,1.06083709149014,1.09597236020646,1.09597236020646,1.10279050109467
120,126,1.01819564031212,0.0206339203789679,0.978151397033024,0.984495243341058,1.05237147556986,1.01805626031796,1.05237147556986,1.05237147556986,1.05903196450655
121,127,1.00100978639137,0.0203484175319422,0.961520835783718,0.967776423135915,1.03471346026318,1.00087190963232,1.03471346026318,1.03471346026318,1.04128227517215
122,128,1.02099122632577,0.0204731240286538,0.981254880704787,0.987550937111194,1.05489829131796,1.02085438583589,1.05489829131796,1.05489829131796,1.06150522122777
123,129,1.01993068656433,0.0204354306716174,0.980267186104416,0.98655177504153,1.05377514026346,1.01979420771788,1.05377514026346,1.05377514026346,1.06036978113223
124,130,1.0542836533525,0.0207521678073519,1.01399841544657,1.02038317368679,1.08864857545885,1.05414749689586,1.08864857545885,1.08864857545885,1.09534265339794
125,131,0.997372016775664,0.0201417381716957,0.958281599101434,0.964474660477806,1.03073185915238,0.997236433862536,1.03073185915238,1.03073185915238,1.03723293700624
126,132,0.976472593005261,0.0198578355598637,0.937935844578859,0.944040552343319,1.00936379528623,0.976337984698336,1.00936379528623,1.00936379528623,1.01577430535431
127,133,0.9840136673953,0.0198963267340089,0.945400005962566,0.951517423719534,1.01696732207253,0.98387957229798,1.01696732207253,1.01696732207253,1.02338937628362
128,134,1.02282405164149,0.0203067629097406,0.983406750029968,0.989653168541618,1.05645333276564,1.02268966717729,1.05645333276564,1.05645333276564,1.06300504528989
129,135,1.04263892297809,0.020538878431999,1.00276803318202,1.0090870508671,1.07665082061579,1.0425040613892,1.07665082061579,1.07665082061579,1.08327621631703
130,136,1.0200837978314,0.0203044474002775,0.980671979853494,0.986917294580168,1.05370982563835,1.01994908311342,1.05370982563835,1.05370982563835,1.06026118462215
131,137,0.985248329601235,0.0198928465755027,0.946640874357063,0.952757438955997,1.01819589827172,0.985114449383195,1.01819589827172,1.01819589827172,1.02461661117728
132,138,0.964916741435665,0.0196309526963855,0.926820446740527,0.932855343655832,0.997432242580707,0.964783616012026,0.997432242580707,0.997432242580707,1.00376957299064
133,139,0.994305361232298,0.0199259991548578,0.955630702173446,0.96175859334814,1.02730615700667,0.994172257926489,1.02730615700667,1.02730615700667,1.03373643157548
134,140,0.97744182219292,0.0198039707145805,0.939008183389284,0.945096894893917,1.01024297075445,0.9773080758819,1.01024297075445,1.01024297075445,1.01663552632244
135,141,0.954326923782693,0.019611297478514,0.916272611279963,0.922299946572126,0.98681212421032,0.95419259058477,0.98681212421032,0.98681212421032,0.993144636710149
136,142,0.926457770132728,0.0193643414413704,0.888889154859159,0.894838019839826,0.958537714587355,0.926322859140809,0.958537714587355,0.958537714587355,0.964793069227899
137,143,0.896971431450348,0.0191278429047135,0.859869374679038,0.865742527565813,0.928664117699889,0.896835468549696,0.928664117699889,0.928664117699889,0.934846149746255
138,144,0.897071408396182,0.0192573776844612,0.859720704782764,0.865632598401059,0.92898025099925,0.896933613172422,0.92898025099925,0.92898025099925,0.935205186355469
139,145,0.895623216320328,0.0194287954349386,0.857944231900275,0.863907091171307,0.927818552587654,0.895482730322517,0.927818552587654,0.927818552587654,0.934100566345972
140,146,0.842196651874081,0.0190524675613961,0.80526439705159,0.811105074182991,0.873778288668402,0.842052985701158,0.873778288668402,0.873778288668402,0.879945344442736
141,147,0.815782878255231,0.0189768271832478,0.779008841918294,0.784821748294016,0.847245924677636,0.815635735990869,0.847245924677636,0.847245924677636,0.853393106241492
142,148,0.784706808485695,0.0188935197123524,0.748108917823216,0.753890493624917,0.816040344448201,0.784555179530025,0.816040344448201,0.816040344448201,0.822166387699817
143,149,0.763268969468824,0.0189929026951873,0.726493202556588,0.73229941001491,0.794775884877522,0.76311143779566,0.794775884877522,0.794775884877522,0.800939968897214
144,150,0.79951725962865,0.0198887351886321,0.761006754901065,0.767086879782187,0.832510166617197,0.799352348751084,0.832510166617197,0.832510166617197,0.838964931959518
145,151,0.815466336793737,0.0206067811509262,0.775573240643855,0.781869813402616,0.849654927123834,0.815292766025026,0.849654927123834,0.849654927123834,0.856345813363581
146,152,0.836617734805974,0.0213955435387167,0.795203872095511,0.801739004098276,0.872118587785044,0.836435353009075,0.872118587785044,0.872118587785044,0.879068049677124
147,153,0.874385900236465,0.0223614212558953,0.831102455334648,0.837932608511746,0.911489399241857,0.874195285018745,0.911489399241857,0.911489399241857,0.9187525867645
148,154,0.899085604608127,0.0231143444132863,0.854347758486675,0.861406710992831,0.937440142529874,0.898887532261383,0.937440142529874,0.937440142529874,0.944949070157005
149,155,0.897602828756952,0.0234592257329478,0.85220703311085,0.859367533080519,0.936535230113319,0.89739846480275,0.936535230113319,0.936535230113319,0.944159997893812
150,156,0.936463264152946,0.0242603806759555,0.88951184709397,0.896918981382635,0.976722142366537,0.936253772875396,0.976722142366537,0.976722142366537,0.984605192786806
151,157,0.886719956995301,0.0238610551077937,0.840564240511293,0.847840424576406,0.926329530538635,0.88650593771038,0.926329530538635,0.926329530538635,0.934091916314015
152,158,0.886409602051765,0.0240715805489596,0.839852339056221,0.847190478404848,0.926371965518857,0.886191713444544,0.926371965518857,0.926371965518857,0.93420509651159
153,159,0.867088075905016,0.0240486962924534,0.820588385302385,0.827914298346332,0.90702020980445,0.866865755766703,0.90702020980445,0.90702020980445,0.914851181255717
154,160,0.868483175420459,0.0243606366583794,0.821387659915537,0.828805707800288,0.908937549813119,0.868255417048698,0.908937549813119,0.908937549813119,0.916873010118351
155,161,0.893382847310203,0.0250492111857513,0.844955871942945,0.852583701581284,0.934980545700529,0.893148743218244,0.934980545700529,0.934980545700529,0.943140203727364
156,162,0.893339909677902,0.0254101659290753,0.84422496527818,0.851958825210213,0.935542765106477,0.893098998926448,0.935542765106477,0.935542765106477,0.943823916031856
157,163,0.885827882935281,0.0256358181917371,0.83628894392951,0.844086688451559,0.928412600315549,0.885580595412924,0.928412600315549,0.928412600315549,0.936772121682581
158,164,0.972584324057531,0.0271845582805415,0.920026856641238,0.928305828715393,1.01772673332434,0.972331058618947,1.01772673332434,1.01772673332434,1.02658106388553
159,165,0.95436768656521,0.0272343204323799,0.901729270481935,0.910017381493802,0.999601620229409,0.954108641609126,0.999601620229409,0.999601620229409,1.00847821864176
160,166,0.950793315780283,0.0273786774918798,0.897882674620229,0.906212041703218,0.99627096718646,0.950530533419178,0.99627096718646,0.99627096718646,1.00519731179926
161,167,1.00008764321625,0.0282078783788554,0.945558601492234,0.954146514110076,1.04693337032825,0.999822450831736,1.04693337032825,1.04693337032825,1.05612373626138
162,168,1.01506288798778,0.0285395871871739,0.959890176415551,0.968580039649415,1.06245807352928,1.0147954267695,1.06245807352928,1.06245807352928,1.07175554444361
163,169,1.10863892462757,0.0298869024309672,1.05082848503993,1.05994163872115,1.15825227523335,1.10837037056581,1.15825227523335,1.15825227523335,1.16797552080713
164,170,1.19559971010738,0.0309944786403764,1.13561622500034,1.14507919801704,1.24703378543373,1.19533188930005,1.24703378543373,1.24703378543373,1.25710518587301
165,171,1.13350475336799,0.0299433406090622,1.07556963846976,1.08470611947365,1.1832027446233,1.13324109719975,1.1832027446233,1.1832027446233,1.19293819133619
166,172,1.1088460468167,0.0291700604384007,1.05240402804168,1.06130577110576,1.15725880895535,1.10859026814041,1.15725880895535,1.15725880895535,1.16674162202518
167,173,1.06736197774017,0.0281764177414811,1.01284505275193,1.02144259604261,1.1141270568235,1.06711405256268,1.1141270568235,1.1141270568235,1.12328782867963
168,174,1.0236455560623,0.0272608911730783,0.970906103668436,0.979221893634406,1.06889465821082,1.02340356965017,1.06889465821082,1.06889465821082,1.07776018497537
169,175,1.074359064149,0.0277029191218497,1.02074205908702,1.02920152607037,1.12032879202249,1.07412096203842,1.12032879202249,1.12032879202249,1.12932917252086
170,176,1.04681233155758,0.0272197882904717,0.994136038198874,1.00244574573803,1.09198365870312,1.04657641305894,1.09198365870312,1.09198365870312,1.10082931885309
171,177,1.01243708083556,0.0266338604198797,0.960902431017314,0.969030209249491,1.0566405802443,1.0122035409162,1.0566405802443,1.0566405802443,1.06529890716903
172,178,0.990937597186309,0.026213812692346,0.940219390992236,0.948217532005586,1.03444610331221,0.990706457346454,1.03444610331221,1.03444610331221,1.04296934043204
173,179,1.01512449064561,0.0264585110452445,0.96392299860199,0.971999685540894,1.0590333878324,1.01489462569679,1.0590333878324,1.0590333878324,1.06763227504195
174,180,1.03104542190571,0.0266570447746581,0.979454385802965,0.987593788159877,1.07528066937544,1.03081569717969,1.07528066937544,1.07528066937544,1.08394195367332
175,181,1.02380878929124,0.0265499293249919,0.972427043112188,0.980532956482716,1.0678674451749,1.02357929635717,1.0678674451749,1.0678674451749,1.07649471382504
